,Name,School Type,lat,long
0,Admiralty Primary School,Primary,1.4430452,103.8003087
1,Ahmad Ibrahim Primary School,Primary,1.4337349,103.8327825
2,Ai Tong School,Primary,1.3610364,103.8326038
3,Alexandra Primary School,Primary,1.2912968,103.8235297
4,Anchor Green Primary School,Primary,1.3909254,103.8874074
5,Anderson Primary School,Primary,1.3841826,103.8391685
6,Anglo-Chinese School (Junior),Primary,1.3090345,103.8416385
7,Anglo-Chinese School (Primary),Primary,1.3187616,103.8336693
8,Angsana Primary School,Primary,1.3561474,103.940848
9,Ang Mo Kio Primary School,Primary,1.3693469,103.839815
10,Balestier Hill Primary School,Primary,1.3255988,103.8444124
11,Beacon Primary School,Primary,1.384235,103.77377
12,Bedok Green Primary School,Primary,1.3238817,103.937779
13,Bendemeer Primary School,Primary,1.322193,103.8650808
14,Blangah Rise Primary School,Primary,1.2761957,103.8086755
15,Boon Lay Garden Primary School,Primary,1.3434436,103.712979
16,Bukit Panjang Primary School,Primary,1.3736018,103.7673379
17,Bukit Timah Primary School,Primary,1.337385,103.766768
18,Bukit View Primary School,Primary,1.3459352,103.75348
19,Canberra Primary School,Primary,1.4510024,103.8133518
20,Canossa Catholic Primary School,Primary,1.3266355,103.8818964
21,Cantonment Primary School,Primary,1.2753328,103.8397984
22,Casuarina Primary School,Primary,1.3725006,103.9570205
23,Catholic High School (Primary),Primary,1.3546103,103.8429347
24,Cedar Primary School,Primary,1.3356131,103.8754605
25,Changkat Primary School,Primary,1.3405005,103.952168
26,CHIJ (Katong) Primary,Primary,1.3064156,103.9087665
27,CHIJ (Kellock),Primary,1.2749325,103.8279734
28,CHIJ Our Lady of Good Counsel,Primary,1.3574239,103.8637879
29,CHIJ Our Lady of the Nativity,Primary,1.3735318,103.897543
30,CHIJ Our Lady Queen of Peace,Primary,1.3666563,103.7675404
31,CHIJ Primary (Toa Payoh),Primary,1.3328881,103.8423106
344,Dunman High School,Junior College,1.2991183,103.8821713
33,Chongfu School,Primary,1.4386472,103.8394566
34,Chongzheng Primary School,Primary,1.3508639,103.9512472
35,Chua Chu Kang Primary School,Primary,1.3778247,103.7401234
36,Clementi Primary School,Primary,1.3153018,103.7632831
37,Compassvale Primary School,Primary,1.3947733,103.8979656
38,Concord Primary School,Primary,1.3803524,103.7341496
39,Coral Primary School,Primary,1.368314,103.9509974
40,Corporation Primary School,Primary,1.3508058,103.7077026
41,Da Qiao Primary School,Primary,1.371969,103.85865
42,Damai Primary School,Primary,1.3356727,103.9211476
43,Dazhong Primary School,Primary,1.3593772,103.7480154
44,De La Salle School,Primary,1.3950758,103.7411836
45,East Coast Primary School,Primary,1.3294373,103.9200331
46,East Spring Primary School,Primary,1.353454,103.9617985
47,East View Primary School,Primary,1.3469172,103.9394788
48,Edgefield Primary School,Primary,1.4004367,103.9076926
49,Elias Park Primary School,Primary,1.3749538,103.9452385
50,Endeavour Primary School,Primary,1.45457,103.8149894
51,Eunos Primary School,Primary,1.3245231,103.9043036
52,Evergreen Primary School,Primary,1.4440874,103.7928493
53,Fairfield Methodist School (Primary),Primary,1.3004399,103.7827017
54,Farrer Park Primary School,Primary,1.312316,103.850874
55,Fengshan Primary School,Primary,1.3302242,103.9318271
56,Fernvale Primary School,Primary,1.3899534,103.8717303
57,First Toa Payoh Primary School,Primary,1.340145,103.855651
58,Frontier Primary School,Primary,1.3368484,103.6975855
59,Fuchun Primary School,Primary,1.4303633,103.7769802
60,Fuhua Primary School,Primary,1.3365456,103.7364909
61,Gan Eng Seng Primary School,Primary,1.2857679,103.8130738
62,Geylang Methodist School (Primary),Primary,1.3182216,103.8816494
63,Gongshang Primary School,Primary,1.3571755,103.9491666
64,Greendale Primary School,Primary,1.396398,103.9126762
65,Greenridge Primary School,Primary,1.3856645,103.7657414
66,Greenwood Primary School,Primary,1.4398554,103.8024203
67,Guangyang Primary School,Primary,1.345887,103.849315
68,Haig Girls' School,Primary,1.3116258,103.9028234
69,Holy Innocents' Primary School,Primary,1.3665784,103.8915223
70,Henry Park Primary School,Primary,1.3167825,103.7841363
71,Hong Wen School,Primary,1.3217339,103.8576625
72,Horizon Primary School,Primary,1.3998229,103.9109415
73,Hougang Primary School,Primary,1.3773882,103.8809088
74,Huamin Primary School,Primary,1.4269293,103.8442699
75,Innova Primary School,Primary,1.4295287,103.7882451
76,Jiemin Primary School,Primary,1.427671,103.830498
77,Jing Shan Primary School,Primary,1.3723262,103.8517128
78,Junyuan Primary School,Primary,1.3479731,103.9399917
79,Jurong Primary School,Primary,1.348679,103.732992
80,Jurong West Primary School,Primary,1.3390579,103.6966624
81,Juying Primary School,Primary,1.3387394,103.6883379
82,Keming Primary School,Primary,1.3454147,103.7562455
83,Kheng Cheng School,Primary,1.337666,103.847796
84,Kong Hwa School,Primary,1.3110869,103.8881778
85,Kranji Primary School,Primary,1.3936035,103.747804
86,Kuo Chuan Presbyterian Primary School,Primary,1.3494106,103.8530748
87,Lakeside Primary School,Primary,1.338468,103.7159583
88,Lianhua Primary School,Primary,1.3536176,103.7544359
89,Loyang Primary School,Primary,1.3709326,103.95595
90,MacPherson Primary School,Primary,1.3246436,103.881867
91,Maha Bodhi School,Primary,1.3284131,103.9015463
232,Dunman High School,Secondary,1.2991183,103.8821713
93,Marsiling Primary School,Primary,1.4341066,103.7733346
94,Marymount Convent School,Primary,1.3406992,103.8399377
95,Mayflower Primary School,Primary,1.3762393,103.8336098
96,Mee Toh School,Primary,1.3947729,103.9089333
97,Meridian Primary School,Primary,1.3760374,103.9328601
353,St. Joseph's Junior College,Junior College,1.3173615,103.8436396
99,Montfort Junior School,Primary,1.373864,103.889614
100,Nan Chiau Primary School,Primary,1.3923982,103.8903328
101,Nan Hua Primary School,Primary,1.3197989,103.7619428
102,Nanyang Primary School,Primary,1.3210855,103.8077117
103,Ngee Ann Primary School,Primary,1.3056219,103.9180054
104,Naval Base Primary School,Primary,1.4161125,103.8390841
105,New Town Primary School,Primary,1.2999972,103.7978857
106,Northland Primary School,Primary,1.4211604,103.8383873
107,Northoaks Primary School,Primary,1.456638,103.813826
108,North Spring Primary School,Primary,1.3872177,103.9036033
109,North View Primary School,Primary,1.427616,103.8461243
110,North Vista Primary School,Primary,1.3829142,103.8958131
111,Oasis Primary School,Primary,1.4047715,103.9109669
112,Opera Estate Primary School,Primary,1.3193914,103.9235753
113,Palm View Primary School,Primary,1.3839074,103.8886066
114,Park View Primary School,Primary,1.3775806,103.9373474
115,Pasir Ris Primary School,Primary,1.372403,103.9629666
