,storey_range,price_per_sqm,type_index,remaining_lease,PSch Dist,SSch Dist,JC Dist,Poly Dist,ITE Dist,Uni Dist,lat,long,region_1,region_2,region_3,region_4,region_5,data source
0,0.7071067811865476,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_1
1,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_1
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_1
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_1
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_1
0,0.14175465751819508,0.008464404126036329,1.1102230246251565e-16,0.3886124293089361,0.15490548553239006,0.1880429805801494,0.14822834789060002,0.11982243687840291,0.2319362725019266,0.42783854182324876,0.4397302738613391,0.07136220482852383,0.42180838602431026,0.021423767809720815,0.2655321849075435,0.21996207862720538,0.023705257368122012,room_2
1,0.11321185302237995,0.07782625704597979,2.7755575615628914e-17,0.17438497865449107,0.08835224389413661,0.10551571350583172,0.06209368008018283,0.33807430242566283,0.29997264026570264,0.14580813286668434,0.089145519808745,0.5216478936977873,0.02480447144439145,0.41326380672639557,0.21747966097229296,0.2503019348594718,0.37545804412857203,room_2
2,0.03231169727038,0.0689589895611617,4.163336342344337e-17,0.02381561461745401,0.1844459763467332,0.20467152449975415,0.47206585789147115,0.04243713581602111,0.41663039885805264,0.19420422517418542,0.07352613057377158,0.2855262608643878,0.1972556350432412,0.1111976091024653,0.043218863667641626,0.28404653129927393,0.5109041875628041,room_2
3,0.40761221039226314,0.4688389005212801,1.1102230246251565e-16,0.15320348230350134,0.1587596023696545,0.07370337627413973,0.26722321870527055,0.22170663088170178,0.015484852438536686,0.12295777045699036,0.16224399348755164,0.026236288610701264,0.038734032123656725,0.21414159121123355,0.3746872256066288,0.4525467813387846,0.06675540127016744,room_2
4,0.3569981042384632,0.45769642551431766,5.551115123125783e-17,0.19857971934171068,0.33518536209066274,0.13322211637782813,0.01263244813230835,0.24858479591794833,0.062301824645943554,0.030685520222460974,0.08867329611242232,0.021203352310911625,0.09840688431068668,0.45532895670733364,0.40189504132986703,0.1556187285527269,0.12530064338334962,room_2
5,0.2663046463101429,0.27824783846124096,0.0,0.20790433712050982,0.33106988252607633,0.37555118765773404,0.24973108574660663,0.42939332039007067,0.13714685275539618,0.006429565153951822,0.01795065329872763,0.21645858192726145,0.2087714236339388,0.2921633345145277,0.02565051143557274,0.24207326837958387,0.23836124342422826,room_2
6,0.2980542472900107,0.23322544617873855,2.7755575615628914e-17,0.13003012388049842,0.2525402803567929,0.6293572810761424,0.1716647269403292,0.4026216763987325,0.2006310847104723,0.017944619883910704,0.06145905314666674,0.10265664720343336,0.03402903169098041,0.2553507863505792,0.254401257948377,0.019760330746384308,0.04537220310552118,room_2
0,0.09404798569050346,0.2718609473457445,3.3306690738754696e-16,0.18015066505575586,0.10642993506120324,0.276189421933718,0.029422097253695413,0.17561468093864385,0.27649962070719747,0.4268285000436758,0.45789634445317184,0.005802878592885023,0.41988900231586657,0.03498816420363077,0.18969815638487136,0.28797281400297375,0.026385854875986665,room_3
1,0.08442816732410176,0.005732425390521267,6.938893903907228e-17,0.12276734831052542,0.1093453577198068,0.02355481747089884,0.1916920772089982,0.32316245149500267,0.3624029725959456,0.19859707656395473,0.12527534688386444,0.4859754925343044,0.0687989902647091,0.4463275836857721,0.19208478918370084,0.2858084032436967,0.2809069507518051,room_3
2,0.20735011546928217,0.3209406089899206,2.220446049250313e-16,0.22633805786695038,0.025649864369386537,0.13278263354431288,0.056815693853836655,0.1007607950704052,0.2587966260971908,0.25038972307122553,0.17200555568106907,0.3689590859483532,0.20981817168250774,0.028241277684550863,0.05666516949472345,0.3307826344896554,0.5641520020680846,room_3
3,0.45600260805020937,0.40751403329584146,2.220446049250313e-16,0.5250341930672389,0.05521903655453643,0.08268590793054784,0.14406789038135892,0.06137306422430369,0.14456602987243974,0.08303803765300613,0.06870871816085602,0.09277717659657767,0.16433150328816742,0.08962312924304207,0.32176200848335895,0.3135385606536036,0.19474908544572672,room_3
4,0.043581029847615325,0.00872016154347538,9.71445146547012e-17,0.1354502650520582,0.39441005021546943,0.19679178215367363,0.5016300779477534,0.2856395797529358,0.11537784965684708,0.038326429374127516,0.06699122018020139,0.0485297255978474,0.21635760749926491,0.463299845949116,0.381591856198573,0.0756696505974905,0.13322671246476955,room_3
5,0.03511408373917738,0.07969546693100078,8.673617379884035e-17,0.19599665598981533,0.6459949269574927,0.26086239297128727,0.05217480212409257,0.2498315961862463,0.0016497837822349558,0.042418375144628054,0.055099268366159276,0.054647671795940184,0.0004633162058718509,0.3184309178656919,0.5153725687825482,0.07351423023849882,0.15253932543453025,room_3
6,0.4914258323704263,0.061475667409401934,8.326672684688674e-17,0.05770706328601201,0.26936157358424984,0.16505556249762376,0.6800574699937274,0.06885128478053484,0.16416998080765377,0.03320605506142998,0.11416480606790662,0.10217652415281975,0.08187624490078753,0.1145613056954566,0.2645892593246873,0.18130885164676816,0.10068352743302203,room_3
0,0.1422775625985867,0.33682139303364056,3.3306690738754696e-16,0.08601507507254821,0.1341225290090866,0.18999509173951093,0.19604645534433998,0.08533107159181934,0.008718448130353135,0.4824390376615546,0.4892445252283257,0.0001987706800848383,0.35537888239228865,0.09571657775013959,0.13079168926596324,0.35717439475000057,0.08238780374068949,room_4
