idx,full address,lat,long
709054,"174 ANG MO KIO AVE 4 , Singapore",1.3752431,103.8374311
709055,"541 ANG MO KIO AVE 10 , Singapore",1.373289,103.8560821
709056,"163 ANG MO KIO AVE 4 , Singapore",1.3735762,103.837598
709057,"446 ANG MO KIO AVE 10 , Singapore",1.3678117,103.8551856
709058,"557 ANG MO KIO AVE 10 , Singapore",1.3716063,103.8577221
709059,"603 ANG MO KIO AVE 5 , Singapore",1.380163,103.8357101
709060,"709 ANG MO KIO AVE 8 , Singapore",1.3711528,103.8476668
709061,"333 ANG MO KIO AVE 1 , Singapore",1.3613131,103.8516526
709062,"109 ANG MO KIO AVE 4 , Singapore",1.3701494,103.8376575
709063,"564 ANG MO KIO AVE 3 , Singapore",1.3697651,103.8593528
709064,"218 ANG MO KIO AVE 1 , Singapore",1.3651811,103.8415977
709065,"556 ANG MO KIO AVE 10 , Singapore",1.3720459,103.8577221
709066,"156 ANG MO KIO AVE 4 , Singapore",1.3755222,103.8397861
709067,"471 ANG MO KIO AVE 10 , Singapore",1.3634808,103.8567256
709068,"434 ANG MO KIO AVE 10 , Singapore",1.3679694,103.8532832
709069,"560 ANG MO KIO AVE 10 , Singapore",1.3707919,103.8591716
709070,"332 ANG MO KIO AVE 1 , Singapore",1.3616045,103.8519244
709071,"421 ANG MO KIO AVE 10 , Singapore",1.3653349,103.8528303
709072,"506 ANG MO KIO AVE 8 , Singapore",1.3743701,103.8487538
709073,"631 ANG MO KIO AVE 4 , Singapore",1.3795472,103.8406919
709074,"153 ANG MO KIO AVE 5 , Singapore",1.3763871,103.8422318
709075,"442 ANG MO KIO AVE 10 , Singapore",1.3656873,103.8551856
709076,"558 ANG MO KIO AVE 10 , Singapore",1.3712314,103.8591716
709077,"212 ANG MO KIO AVE 3 , Singapore",1.3688441,103.8415977
709078,"152 ANG MO KIO AVE 5 , Singapore",1.376693,103.8400579
709079,"331 ANG MO KIO AVE 1 , Singapore",1.3619223,103.8508147
709080,"121 ANG MO KIO AVE 3 , Singapore",1.3697115,103.8435905
709081,"130 ANG MO KIO AVE 3 , Singapore",1.3703816,103.8417789
709083,"646 ANG MO KIO AVE 6 , Singapore",1.3794551,103.8438623
709084,"424 ANG MO KIO AVE 3 , Singapore",1.3686437,103.8507467
709085,"584 ANG MO KIO AVE 3 , Singapore",1.3707241,103.8533979
709086,"412 ANG MO KIO AVE 10 , Singapore",1.3639288,103.8552762
709087,"612 ANG MO KIO AVE 4 , Singapore",1.3789626,103.8380542
709088,"562 ANG MO KIO AVE 3 , Singapore",1.3701881,103.8590584
709089,"223 ANG MO KIO AVE 1 , Singapore",1.3660809,103.8380651
709090,"150 ANG MO KIO AVE 5 , Singapore",1.3767561,103.8417789
709091,"468 ANG MO KIO AVE 10 , Singapore",1.3648757,103.8561821
709092,"177 ANG MO KIO AVE 4 , Singapore",1.3758705,103.8380731
709094,"415 ANG MO KIO AVE 10 , Singapore",1.3645244,103.8536456
709095,"254 ANG MO KIO AVE 4 , Singapore",1.3703801,103.8345568
709096,"207 ANG MO KIO AVE 1 , Singapore",1.3658637,103.8429084
709097,"432 ANG MO KIO AVE 10 , Singapore",1.3683341,103.853555
709098,"117 ANG MO KIO AVE 4 , Singapore",1.3736407,103.8358007
709100,"428 ANG MO KIO AVE 3 , Singapore",1.3689887,103.8543703
709101,"573 ANG MO KIO AVE 3 , Singapore",1.3705763,103.8548392
709102,"418 ANG MO KIO AVE 10 , Singapore",1.365035,103.8540079
709103,"324 ANG MO KIO AVE 3 , Singapore",1.3683188,103.8468289
709104,"596B ANG MO KIO ST 52 , Singapore",1.3720881,103.8505656
709105,"234 ANG MO KIO AVE 3 , Singapore",1.3671883,103.8366159
709106,"648 ANG MO KIO AVE 5 , Singapore",1.3782826,103.8438623
709107,"253A ANG MO KIO ST 21 , Singapore",1.37006,103.8341703
709108,"439 ANG MO KIO AVE 10 , Singapore",1.3663578,103.8532832
709109,"306 ANG MO KIO AVE 1 , Singapore",1.3658159,103.8457645
709110,"729 ANG MO KIO AVE 6 , Singapore",1.3738738,103.8459457
709111,"315B ANG MO KIO ST 31 , Singapore",1.364145,103.847474
709112,"700C ANG MO KIO AVE 6 , Singapore",1.3696212,103.8464892
709113,"620 BEDOK RESERVOIR RD , Singapore",1.3339841,103.9182508
709114,"38 BEDOK STH RD , Singapore",1.3209933,103.9386438
709115,"504 BEDOK NTH ST 3 , Singapore",1.3318724,103.9323222
709116,"545 BEDOK NTH ST 3 , Singapore",1.3301452,103.924142
709117,"546 BEDOK NTH ST 3 , Singapore",1.330869,103.9255016
709118,"18 BEDOK STH RD , Singapore",1.3205036,103.9347465
709119,"550 BEDOK NTH AVE 1 , Singapore",1.3324693,103.9264548
709120,"502 BEDOK NTH ST 3 , Singapore",1.331641,103.9312118
709121,"509 BEDOK NTH ST 3 , Singapore",1.3339204,103.9310499
709122,"525 BEDOK NTH ST 3 , Singapore",1.3347268,103.9290365
709123,"534 BEDOK NTH ST 3 , Singapore",1.333142,103.9246859
709124,"542 BEDOK NTH ST 3 , Singapore",1.3307383,103.9227825
709125,"76 BEDOK NTH RD , Singapore",1.3283586,103.9421798
709126,"709 BEDOK RESERVOIR RD , Singapore",1.3353499,103.9225106
709128,"703 BEDOK RESERVOIR RD , Singapore",1.3371946,103.9198822
709129,"27 NEW UPP CHANGI RD , Singapore",1.3241599,103.9349227
709130,"42 CHAI CHEE ST , Singapore",1.3279408,103.9257735
709131,"426 BEDOK NTH RD , Singapore",1.329789,103.9288099
709132,"530 BEDOK NTH ST 3 , Singapore",1.3337144,103.9269518
709133,"420 BEDOK NTH ST 1 , Singapore",1.3277041,103.9287646
709134,"105 BEDOK NTH AVE 4 , Singapore",1.3336952,103.936605
709135,"519 BEDOK NTH AVE 1 , Singapore",1.3308544,103.9280394
709136,"548 BEDOK NTH AVE 1 , Singapore",1.3313002,103.9268611
709137,"537 BEDOK NTH ST 3 , Singapore",1.3320819,103.9240161
