,School Name
0,Urban planning areas in Singapore
1,
2,
3,Ahmad Ibrahim Secondary School
4,
5,Anderson Secondary School
6,
7,"Anglican High School, Singapore"
8,Special Assistance Plan
9,
10,Anglo-Chinese School (Barker Road)
11,"Methodist Girls' School, Singapore"
12,
13,Anglo-Chinese School (Independent)
14,Integrated Programme
15,Integrated Programme
16,Secondary education in Singapore
17,International Baccalaureate
18,"Methodist Girls' School, Singapore"
19,
20,Ang Mo Kio Secondary School
21,
22,Assumption English School
23,Catholic Junior College
24,
25,
26,Bartley Secondary School
27,
28,Beatty Secondary School
29,
30,Bedok Green Secondary School
31,
32,Bedok South Secondary School
33,
34,Bedok View Secondary School
35,
36,Bendemeer Secondary School
37,
38,Boon Lay Secondary School
39,
40,Bowen Secondary School
41,
42,Broadrick Secondary School
43,
44,Bukit Batok Secondary School
45,
46,Bukit Merah Secondary School
47,
48,Bukit Panjang Government High School
49,
50,Bukit View Secondary School
51,
52,Catholic High School (Singapore)
53,Special Assistance Plan
54,Integrated Programme
55,Integrated Programme
56,Secondary education in Singapore
57,Eunoia Junior College
58,Singapore Chinese Girls' School
59,CHIJ Saint Nicholas Girls' School
60,Catholic Junior College
61,
62,Canberra Secondary School
63,
64,Cedar Girls' Secondary School
65,Integrated Programme
66,Integrated Programme
67,Secondary education in Singapore
68,Victoria Junior College
69,Victoria School
70,
71,
72,CHIJ Katong Convent
73,Catholic Junior College
74,CHIJ Katong Convent
75,
76,CHIJ Secondary (Toa Payoh)
77,Catholic Junior College
78,CHIJ Primary (Toa Payoh)
79,
80,CHIJ Saint Joseph's Convent
81,Catholic Junior College
82,Primary schools in Singapore
83,Primary schools in Singapore
84,
85,CHIJ St. Nicholas Girls' School
86,Special Assistance Plan
87,Integrated Programme
88,Integrated Programme
89,Secondary education in Singapore
90,Eunoia Junior College
91,Singapore Chinese Girls' School
92,"Catholic High School, Singapore"
93,Catholic Junior College
94,CHIJ Saint Nicholas Girls' School
95,
96,CHIJ Saint Theresa's Convent
97,Catholic Junior College
98,Primary schools in Singapore
99,Primary schools in Singapore
100,
101,Chua Chu Kang Secondary School
102,
103,Christ Church Secondary School
104,Saint Andrew's Junior College
105,
106,Chung Cheng High School (Main)
107,Special Assistance Plan
108,Nanyang Junior College
109,Chung Cheng High School (Yishun)
110,
111,Chung Cheng High School (Yishun)
112,Nanyang Junior College
113,Chung Cheng High School
114,
115,Clementi Town Secondary School
116,
117,Commonwealth Secondary School
118,
119,Compassvale Secondary School
120,
121,Crescent Girls' School
122,
123,Damai Secondary School
124,
125,Deyi Secondary School
126,
127,Dunearn Secondary School
128,
129,Dunman High School
130,Special Assistance Plan
131,Integrated Programme
132,
133,Dunman Secondary School
134,
135,East Spring Secondary School
136,
137,Edgefield Secondary School
138,
139,Evergreen Secondary School
140,
141,Fairfield Methodist Secondary School
142,Anglo-Chinese Junior College
143,Fairfield Methodist School (Primary)
144,
145,Fajar Secondary School
146,
147,Fuchun Secondary School
148,
149,Fuhua Secondary School
150,
151,Gan Eng Seng School
152,
153,Geylang Methodist Secondary School
154,Anglo-Chinese Junior College
155,Primary schools in Singapore
156,
157,Greendale Secondary School
158,
159,Greenridge Secondary School
160,
161,Guangyang Secondary School
162,
163,Hai Sing Catholic School
164,Catholic Junior College
165,
166,Hillgrove Secondary School (Singapore)
167,
168,Holy Innocents' High School
169,Catholic Junior College
170,Holy Innocents' Primary School
171,
172,Hong Kah Secondary School
173,
174,Hougang Secondary School
175,
176,Hua Yi Secondary School
177,
178,Hwa Chong Institution
179,Special Assistance Plan
180,Integrated Programme
181,Nanyang Girls' High School
182,
183,Junyuan Secondary School
184,
185,Jurong Secondary School
186,
187,
188,Jurongville Secondary School
189,
190,Juying Secondary School
191,
192,
193,Kranji Secondary School
194,
195,Kuo Chuan Presbyterian Secondary School
196,Saint Andrew's Junior College
197,Kuo Chuan Presbyterian Primary School
198,
199,Loyang View Secondary School
200,
201,Manjusri Secondary School
202,Mee Toh School
203,Maha Bodhi School
204,
205,Maris Stella High School
206,Special Assistance Plan
207,Catholic Junior College
208,Maris Stella High School
209,
210,Marsiling Secondary School
211,
212,Mayflower Secondary School
213,
