,order_id,product_name,discount,sales,quantity,category
0,IT-2011-3647632,"Enermax Note Cards, Premium",0.5,45.0,3,Office Supplies
1,ES-2011-4869686,"Dania Corner Shelving, Traditional",0.0,854.0,7,Furniture
2,ES-2011-4939443,"Binney & Smith Sketch Pad, Easy-Erase",0.0,140.0,3,Office Supplies
3,IT-2011-2942451,"Boston Markers, Easy-Erase",0.5,27.0,2,Office Supplies
4,IT-2011-2942451,"Eldon Folders, Single Width",0.5,17.0,2,Office Supplies
5,ES-2011-3848439,"Binney & Smith Pencil Sharpener, Water Color",0.0,90.0,3,Office Supplies
6,ES-2011-3848439,"Sanford Canvas, Fluorescent",0.0,207.0,4,Office Supplies
7,ES-2011-5433855,"Bush Floating Shelf Set, Pine",0.1,155.0,1,Furniture
8,ES-2011-5433855,"Accos Thumb Tacks, Assorted Sizes",0.0,33.0,3,Office Supplies
9,ES-2011-5433855,"Smead Lockers, Industrial",0.1,716.0,4,Office Supplies
10,IT-2011-4546695,"Ikea Classic Bookcase, Metal",0.6,987.0,6,Furniture
11,IT-2011-4546695,"Binney & Smith Sketch Pad, Blue",0.5,116.0,5,Office Supplies
12,ES-2011-5158390,"SAFCO Executive Leather Armchair, Red",0.0,1384.0,3,Furniture
13,ES-2011-5158390,"Binney & Smith Canvas, Blue",0.0,103.0,2,Office Supplies
14,ES-2011-4359424,"Bevis Training Table, with Bottom Storage",0.6,268.0,2,Furniture
15,ES-2011-1466305,"Boston Canvas, Fluorescent",0.0,55.0,1,Office Supplies
16,ES-2011-1466305,"Smead Trays, Single Width",0.0,97.0,2,Office Supplies
17,ES-2011-4359424,"Novimex File Folder Labels, Alphabetical",0.0,40.0,5,Office Supplies
18,ES-2011-1138719,"Ibico Hole Reinforcements, Recycled",0.0,22.0,3,Office Supplies
19,ES-2011-5040255,"Green Bar Note Cards, Multicolor",0.5,34.0,2,Office Supplies
20,ES-2011-4976144,"Hon Chairmat, Adjustable",0.0,290.0,5,Furniture
21,ES-2011-1460199,"Ikea Stackable Bookrack, Traditional",0.1,552.0,5,Furniture
22,ES-2011-1460199,"Binney & Smith Canvas, Blue",0.0,257.0,5,Office Supplies
23,ES-2011-1460199,"Ibico Index Tab, Clear",0.0,17.0,2,Office Supplies
24,ES-2011-1460199,"Epson Printer, White",0.0,522.0,2,Technology
25,IT-2011-5340302,"Wilson Jones Hole Reinforcements, Durable",0.5,9.0,3,Office Supplies
26,IT-2011-5340302,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",0.5,22.0,4,Office Supplies
27,IT-2011-5340302,"Green Bar Cards & Envelopes, Multicolor",0.5,50.0,2,Office Supplies
28,IT-2011-5340302,"Smead Lockers, Blue",0.5,198.0,2,Office Supplies
29,IT-2011-5951216,"Sanford Pens, Fluorescent",0.5,31.0,5,Office Supplies
30,ES-2011-1043483,"Xerox Message Books, Premium",0.0,224.0,11,Office Supplies
31,ES-2011-1043483,"StarTech Card Printer, White",0.0,486.0,3,Technology
32,ES-2011-1043483,"Apple Headset, with Caller ID",0.0,440.0,6,Technology
33,ES-2011-3661686,"Cuisinart Microwave, White",0.1,249.0,1,Office Supplies
34,ES-2011-3661686,"Harbour Creations Removable Labels, 5000 Label Set",0.0,21.0,2,Office Supplies
35,ES-2011-3661686,"Green Bar Computer Printout Paper, 8.5 x 11",0.0,170.0,5,Office Supplies
36,ES-2011-3661686,"Elite Letter Opener, Easy Grip",0.0,55.0,2,Office Supplies
37,ES-2011-3661686,"Hewlett Copy Machine, Laser",0.0,527.0,2,Technology
38,IT-2011-1373680,"Hon Shipping Labels, Laser Printer Compatible",0.5,17.0,3,Office Supplies
39,ES-2011-4174897,"Stockwell Thumb Tacks, Bulk Pack",0.0,108.0,8,Office Supplies
40,ES-2011-4825230,"Acco Binding Machine, Economy",0.5,26.0,1,Office Supplies
41,ES-2011-3666932,"Wilson Jones Binding Machine, Clear",0.0,145.0,3,Office Supplies
42,ES-2011-3666932,"Fellowes Folders, Blue",0.4,48.0,3,Office Supplies
43,ES-2011-1690587,"GlobeWeis Business Envelopes, Recycled",0.0,48.0,3,Office Supplies
44,ES-2011-1122594,"Boston Pencil Sharpener, Water Color",0.0,58.0,2,Office Supplies
45,ES-2011-3229667,"Memorex Router, Programmable",0.0,495.0,2,Technology
46,ES-2011-5497239,"Bush Classic Bookcase, Traditional",0.0,825.0,2,Furniture
47,ES-2011-3906248,"Avery Index Tab, Clear",0.0,12.0,2,Office Supplies
48,ES-2011-3906248,"Tenex File Cart, Blue",0.0,666.0,5,Office Supplies
49,ES-2011-5497239,"Boston Canvas, Easy-Erase",0.0,54.0,1,Office Supplies
50,ES-2011-5497239,"Rogers Lockers, Single Width",0.4,889.0,7,Office Supplies
51,IT-2011-2413417,"Harbour Creations Swivel Stool, Set of Two",0.6,73.0,1,Furniture
52,IT-2011-2413417,"Office Star Bag Chairs, Set of Two",0.6,69.0,3,Furniture
53,IT-2011-2413417,"Advantus Staples, 12 Pack",0.0,41.0,4,Office Supplies
54,IT-2011-2413417,"Harbour Creations Color Coded Labels, Adjustable",0.0,54.0,5,Office Supplies
55,IT-2011-2413417,"SanDisk Memo Slips, Multicolor",0.0,55.0,3,Office Supplies
56,ES-2011-5158376,"Boston Markers, Fluorescent",0.0,28.0,1,Office Supplies
57,ES-2011-4880899,"Stanley Markers, Water Color",0.0,178.0,7,Office Supplies
58,ES-2011-3746760,"Advantus Light Bulb, Duo Pack",0.0,20.0,1,Furniture
59,ES-2011-3746760,"Cardinal Binder, Clear",0.0,133.0,10,Office Supplies
60,ES-2011-3940520,"Acco Binder Covers, Clear",0.0,13.0,1,Office Supplies
61,ES-2011-3940520,"Avery Binder, Economy",0.0,52.0,4,Office Supplies
62,ES-2011-3429709,"Smead Removable Labels, 5000 Label Set",0.0,32.0,3,Office Supplies
63,ES-2011-3940520,"Memorex Flash Drive, Bluetooth",0.0,88.0,3,Technology
64,IT-2011-4233239,"Hewlett Wireless Fax, Laser",0.5,570.0,3,Technology
65,IT-2011-4728742,"Rogers Folders, Single Width",0.1,28.0,1,Office Supplies
66,ES-2011-5460465,"Sanford Pencil Sharpener, Water Color",0.0,78.0,3,Office Supplies
67,ES-2011-2205486,"Acco Hole Reinforcements, Recycled",0.0,21.0,3,Office Supplies
68,ES-2011-2205486,"Avery Hole Reinforcements, Durable",0.0,12.0,2,Office Supplies
69,IT-2011-4488946,"Fellowes File Cart, Industrial",0.1,248.0,2,Office Supplies
70,IT-2011-4488946,"Brother Wireless Fax, Laser",0.0,379.0,1,Technology
71,ES-2011-2734651,"Boston Highlighters, Water Color",0.0,44.0,2,Office Supplies
72,ES-2011-3642330,"Cisco Headset, Full Size",0.1,162.0,2,Technology
73,ES-2011-1640672,"Xerox Note Cards, Premium",0.5,13.0,1,Office Supplies
74,ES-2011-1640672,"HP Fax and Copier, Digital",0.5,86.0,1,Technology
75,ES-2011-1640672,"Motorola Signal Booster, Cordless",0.5,584.0,8,Technology
76,IT-2011-1877466,"SanDisk Memo Slips, Multicolor",0.5,46.0,5,Office Supplies
77,ES-2011-2511634,"Acme Box Cutter, High Speed",0.0,38.0,1,Office Supplies
78,IT-2011-1877466,"Logitech Numeric Keypad, Ergonomic",0.5,44.0,2,Technology
79,IT-2011-1877466,"Hewlett Copy Machine, Color",0.65,550.0,6,Technology
80,IT-2011-1877466,"Konica Phone, White",0.65,89.0,3,Technology
